1,僧帽筋,そうぼうきん,,1
2,三角筋,さんかくきん,,1
3,大胸筋上部,だいきょうきんじょうぶ,,2
4,大胸筋中部,だいきょうきんちゅうぶ,,2
5,大胸筋下部,だいきょうきんかぶ,,2
6,上腕二頭筋,じょうわんにとうきん,,3
7,上腕三頭筋,じょうわんさんとうきん,,3
8,腕撓骨筋,わんとうこつきん,,3
9,広背筋,こうはいきん,,4
10,脊柱起立筋,せきちゅうきりつきん,,4
11,腹直筋,ふくちょくきん,,5
12,腹斜筋,ふくしゃきん,,5
13,大腿四頭筋,だいたいしとうきん,,6
14,ハムストリングス,はむすとりんぐす,,6
15,下腿三頭筋,かたいさんとうきん,,6
